oftic,TICKER,CUSIP,CNAME,STATPERS,MEASURE,FPI,MEANEST,STDEV,FPEDATS,ACTUAL,ANNDATS_ACT
ABT,ABT,00282410,ABBOTT LABS,2002-07-18,EPS,6,0.48,0.01,2002-09-30,0.48,2002-10-09
ABT,ABT,00282410,ABBOTT LABS,2002-08-15,EPS,6,0.48,0.01,2002-09-30,0.48,2002-10-09
ABT,ABT,00282410,ABBOTT LABS,2002-09-19,EPS,6,0.48,0.01,2002-09-30,0.48,2002-10-09
ABT,ABT,00282410,ABBOTT LABS,2002-10-17,EPS,6,0.56,0.01,2002-12-31,0.55,2003-01-16
ABT,ABT,00282410,ABBOTT LABS,2002-11-14,EPS,6,0.56,0.01,2002-12-31,0.55,2003-01-16
ABT,ABT,00282410,ABBOTT LABS,2002-12-19,EPS,6,0.56,0.01,2002-12-31,0.55,2003-01-16
ABT,ABT,00282410,ABBOTT LABS,2003-01-16,EPS,6,0.56,0.03,2003-03-31,0.51,2003-04-09
ABT,ABT,00282410,ABBOTT LABS,2003-02-20,EPS,6,0.51,0.02,2003-03-31,0.51,2003-04-09
ABT,ABT,00282410,ABBOTT LABS,2003-03-20,EPS,6,0.51,0.02,2003-03-31,0.51,2003-04-09
ABT,ABT,00282410,ABBOTT LABS,2003-04-17,EPS,6,0.52,0,2003-06-30,0.52,2003-07-10
ABT,ABT,00282410,ABBOTT LABS,2003-05-15,EPS,6,0.52,0,2003-06-30,0.52,2003-07-10
ABT,ABT,00282410,ABBOTT LABS,2003-06-19,EPS,6,0.52,0,2003-06-30,0.52,2003-07-10
ABT,ABT,00282410,ABBOTT LABS,2003-07-17,EPS,6,0.53,0,2003-09-30,0.53,2003-10-09
ABT,ABT,00282410,ABBOTT LABS,2003-08-14,EPS,6,0.53,0,2003-09-30,0.53,2003-10-09
ABT,ABT,00282410,ABBOTT LABS,2003-09-18,EPS,6,0.53,0,2003-09-30,0.53,2003-10-09
ABT,ABT,00282410,ABBOTT LABS,2003-10-16,EPS,6,0.65,0.01,2003-12-31,0.65,2004-01-16
ABT,ABT,00282410,ABBOTT LABS,2003-11-20,EPS,6,0.65,0.01,2003-12-31,0.65,2004-01-16
ABT,ABT,00282410,ABBOTT LABS,2003-12-18,EPS,6,0.65,0.01,2003-12-31,0.65,2004-01-16
ABT,ABT,00282410,ABBOTT LABS,2004-01-15,EPS,6,0.65,0.01,2003-12-31,0.65,2004-01-16
ABT,ABT,00282410,ABBOTT LABS,2004-02-19,EPS,6,0.56,0.01,2004-03-31,0.57,2004-04-08
ABT,ABT,00282410,ABBOTT LABS,2004-03-18,EPS,6,0.56,0.01,2004-03-31,0.57,2004-04-08
ABT,ABT,00282410,ABBOTT LABS,2004-04-15,EPS,6,0.58,0.01,2004-06-30,0.54,2004-07-09
ABT,ABT,00282410,ABBOTT LABS,2004-05-20,EPS,6,0.54,0.01,2004-06-30,0.54,2004-07-09
ABT,ABT,00282410,ABBOTT LABS,2004-06-17,EPS,6,0.54,0.01,2004-06-30,0.54,2004-07-09
ABT,ABT,00282410,ABBOTT LABS,2004-07-15,EPS,6,0.53,0.01,2004-09-30,0.53,2004-10-14
ABT,ABT,00282410,ABBOTT LABS,2004-08-19,EPS,6,0.53,0,2004-09-30,0.53,2004-10-14
ABT,ABT,00282410,ABBOTT LABS,2004-09-16,EPS,6,0.53,0,2004-09-30,0.53,2004-10-14
ABT,ABT,00282410,ABBOTT LABS,2004-10-14,EPS,6,0.67,0.01,2004-12-31,0.67,2005-01-18
ABT,ABT,00282410,ABBOTT LABS,2004-11-18,EPS,6,0.67,0.01,2004-12-31,0.67,2005-01-18
ABT,ABT,00282410,ABBOTT LABS,2004-12-16,EPS,6,0.67,0.01,2004-12-31,0.67,2005-01-18
ABT,ABT,00282410,ABBOTT LABS,2005-01-20,EPS,6,0.58,0.01,2005-03-31,0.58,2005-04-12
ABT,ABT,00282410,ABBOTT LABS,2005-02-17,EPS,6,0.58,0.01,2005-03-31,0.58,2005-04-12
ABT,ABT,00282410,ABBOTT LABS,2005-03-17,EPS,6,0.58,0.01,2005-03-31,0.58,2005-04-12
ABT,ABT,00282410,ABBOTT LABS,2005-04-14,EPS,6,0.57,0.01,2005-06-30,0.58,2005-07-13
ABT,ABT,00282410,ABBOTT LABS,2005-05-19,EPS,6,0.57,0.01,2005-06-30,0.58,2005-07-13
ABT,ABT,00282410,ABBOTT LABS,2005-06-16,EPS,6,0.57,0.01,2005-06-30,0.58,2005-07-13
ABT,ABT,00282410,ABBOTT LABS,2005-07-14,EPS,6,0.58,0.01,2005-09-30,0.58,2005-10-19
ABT,ABT,00282410,ABBOTT LABS,2005-08-18,EPS,6,0.58,0.01,2005-09-30,0.58,2005-10-19
ABT,ABT,00282410,ABBOTT LABS,2005-09-15,EPS,6,0.58,0,2005-09-30,0.58,2005-10-19
ABT,ABT,00282410,ABBOTT LABS,2005-10-20,EPS,6,0.76,0.01,2005-12-31,0.76,2006-01-25
ABT,ABT,00282410,ABBOTT LABS,2005-11-17,EPS,6,0.76,0.01,2005-12-31,0.76,2006-01-25
ABT,ABT,00282410,ABBOTT LABS,2005-12-15,EPS,6,0.76,0.01,2005-12-31,0.76,2006-01-25
ABT,ABT,00282410,ABBOTT LABS,2006-01-19,EPS,6,0.76,0.01,2005-12-31,0.76,2006-01-25
ABT,ABT,00282410,ABBOTT LABS,2006-02-16,EPS,6,0.57,0.02,2006-03-31,0.57,2006-04-19
ABT,ABT,00282410,ABBOTT LABS,2006-03-16,EPS,6,0.57,0.02,2006-03-31,0.57,2006-04-19
ABT,ABT,00282410,ABBOTT LABS,2006-04-20,EPS,6,0.59,0.01,2006-06-30,0.62,2006-07-19
ABT,ABT,00282410,ABBOTT LABS,2006-05-18,EPS,6,0.58,0.02,2006-06-30,0.62,2006-07-19
ABT,ABT,00282410,ABBOTT LABS,2006-06-15,EPS,6,0.57,0.01,2006-06-30,0.62,2006-07-19
ABT,ABT,00282410,ABBOTT LABS,2006-07-20,EPS,6,0.58,0.01,2006-09-30,0.58,2006-10-18
ABT,ABT,00282410,ABBOTT LABS,2006-08-17,EPS,6,0.58,0.02,2006-09-30,0.58,2006-10-18
ABT,ABT,00282410,ABBOTT LABS,2006-09-14,EPS,6,0.58,0.01,2006-09-30,0.58,2006-10-18
ABT,ABT,00282410,ABBOTT LABS,2006-10-19,EPS,6,0.74,0.01,2006-12-31,0.75,2007-01-24
ABT,ABT,00282410,ABBOTT LABS,2006-11-16,EPS,6,0.74,0.01,2006-12-31,0.75,2007-01-24
